DATE,PERMNO,PRC,VOL,CFACPR,CFACSHR,SHROUT,RET
1990-01-31,21573.0,50.5,103665.0,2.141906,2.0,108900.0,-0.10619468986988068
1990-01-31,55160.0,0.53125,201.0,0.25,0.25,3891.0,-0.190476194024086
1990-01-31,45129.0,18.5,1020.0,1.5,1.5,10230.0,-0.08641975373029709
1990-01-31,22250.0,16.0,13028.0,1.0,1.0,19487.0,-0.17468354105949402
1990-01-31,60468.0,22.75,1311.0,7.5,7.5,979.0,-0.0714285746216774
1990-01-31,75597.0,10.75,1033.0,1.0,1.0,19949.0,-0.033707864582538605
1990-01-31,51086.0,4.875,5078.0,2.0,2.0,24699.0,-0.02500000037252903
1990-01-31,11846.0,8.75,70.0,1.0,1.0,510.0,0.0
1990-01-31,11847.0,12.0,38.0,3.0,3.0,623.0,-0.09345794469118118
1990-01-31,32118.0,2.46875,5361.0,1.0,1.0,9137.0,-0.03658536449074745
1990-01-31,32054.0,7.5,11293.0,2.0,2.0,6063.0,0.03448275849223137
1990-01-31,85113.0,20.75,5501.0,1.0,1.0,6854.0,-0.15306122601032257
1990-01-31,86167.0,14.75,15964.0,3.0,3.0,9303.0,-0.10606060922145844
1990-01-31,24935.0,11.875,4458.0,11.390625,11.390625,8128.0,-0.10467289388179779
1990-01-31,15529.0,6.5,1348.0,1.0,1.0,5613.0,-0.13333334028720856
1990-01-31,36282.0,18.625,554.0,1.05,1.05,8883.0,-0.006666666828095913
1990-01-31,10914.0,9.25,62376.0,1.0,1.0,60694.0,-0.13953489065170288
1990-01-31,11676.0,0.71875,215.0,1.0,1.0,2963.0,0.3142857253551483
1990-01-31,10503.0,6.0,345.0,1.0,1.0,5076.0,0.0
1990-01-31,70280.0,9.5,1996.0,1.0,1.0,9479.0,-0.03189873322844505
1990-01-31,92911.0,12.0,285.0,1.0,1.0,2151.0,-0.05882352963089943
1990-01-31,63618.0,1.125,919.0,1.0,1.0,3504.0,0.2857142984867096
1990-01-31,50876.0,63.125,114360.0,4.0,4.0,278134.0,-0.07846715301275253
1990-01-31,88007.0,10.25,287.0,5.042306,5.042306,1388.0,0.0
1990-01-31,75593.0,5.375,2883.0,1.0,1.0,5790.0,-0.36764705181121826
1990-01-31,11827.0,0.75,502.0,1.0,1.0,3918.0,-0.1111111119389534
1990-01-31,75760.0,3.625,3208.0,1.0,1.0,6269.0,0.0
1990-01-31,90641.0,3.0,383.0,1.0,1.0,2520.0,-0.09433962404727936
1990-01-31,51079.0,11.0,335.0,1.0,1.0,7346.0,-0.02222222276031971
1990-01-31,85017.0,9.0,6428.0,2.25,2.25,3171.0,0.043478261679410934
1990-01-31,11828.0,10.5,5356.0,1.0,1.0,2955.0,0.29230770468711853
1990-01-31,10141.0,7.75,1344.0,1.1,1.1,2760.0,-0.0746268630027771
1990-01-31,29736.0,4.5,4851.0,1.0,1.0,5195.0,0.05882352963089943
1990-01-31,10705.0,9.875,841.0,1.0,1.0,10352.0,-0.06729412078857422
1990-01-31,24467.0,23.0,883.0,2.0,2.0,4375.0,-0.019895287230610847
1990-01-31,75759.0,0.265625,3757.0,0.2,0.2,14898.0,0.5454545617103577
1990-01-31,37875.0,24.5,11684.0,6.0,6.0,9198.0,0.10764045268297195
1990-01-31,92401.0,0.109375,75964.0,0.025,0.025,66940.0,0.1666666716337204
1990-01-31,10056.0,7.25,1134.0,1.0,1.0,4484.0,0.02068965509533882
1990-01-31,11704.0,0.875,2503.0,0.3333,0.3333,7227.0,0.11999999731779099
1990-01-31,11283.0,19.25,32189.0,1.0,1.0,16744.0,-0.03750000149011612
1990-01-31,14736.0,58.25,149906.0,2.0,2.0,265540.0,-0.010615711100399494
1990-01-31,42200.0,35.625,17040.0,4.0,4.0,28586.0,0.053382351994514465
1990-01-31,14534.0,2.265625,2119.0,1.0,1.0,3579.0,-0.04605263099074364
1990-01-31,32003.0,0.140625,1018.0,1.0,1.0,5591.0,-0.1818181872367859
1990-01-31,32707.0,33.0,11320.0,5.368838,4.0,24167.0,-0.03999999910593033
1990-01-31,24441.0,23.0,9774.0,0.1,0.1,9972.0,0.06358381360769272
1990-01-31,10142.0,5.25,1192.0,1.0,1.0,1138.0,0.10526315867900848
1990-01-31,64275.0,4.625,567.0,1.0,1.0,3349.0,-0.15909090638160706
1990-01-31,37874.0,6.0,340.0,1.0,1.0,2668.0,0.043478261679410934
1990-01-31,60063.0,12.25,1006.0,3.375,3.375,3516.0,-0.20325203239917755
1990-01-31,10733.0,7.5,612.0,1.0,1.0,2556.0,0.0714285746216774
1990-01-31,60354.0,1.8125,381.0,0.1,0.1,6865.0,-0.21621622145175934
1990-01-31,77332.0,3.875,11959.0,1.0,1.0,6617.0,-0.3799999952316284
1990-01-31,49947.0,0.203125,401.0,1.0,1.0,3390.0,-0.1875
1990-01-31,75596.0,9.375,10776.0,0.1,0.1,22751.0,0.13636364042758942
1990-01-31,87979.0,4.5,332.0,1.0,1.0,2440.0,0.0
1990-01-31,78414.0,0.1875,2610.0,1.0,1.0,22105.0,0.7142857313156128
1990-01-31,11675.0,6.375,749.0,0.333333,0.333333,34007.0,-0.01923076994717121
1990-01-31,69244.0,1.6875,1074.0,1.0,1.0,2906.0,0.22727273404598236
1990-01-31,16460.0,19.625,6593.0,4.499989,4.499989,5119.0,-0.01875000074505806
1990-01-31,78451.0,1.5,412.0,1.0,1.0,11152.0,-0.05882352963089943
1990-01-31,69243.0,18.875,82276.0,1.0,1.0,140820.0,-0.06545454263687134
